date,store_id,store_name,region,store_type,sku,product_name,category,current_stock,total_forecast,average_daily_forecast,stockout_probability,stockout_risk,anomaly_status,anomaly_score,days_of_stock,supplier_lead_time_days,safety_stock,min_stock,max_stock,case_pack,inventory_status,recommended_order,recommended_cartons
2026-08-31,BTU001,Bintulu,Bintulu,Medium,BREAD400G,White Bread 400G,Food,440,21,3.0,0.0,LOW,NORMAL,0.0839,20.1,1,100,200,640,10,HEALTHY,0,0
2026-08-31,KCH001,Vivacity,Kuching,Large,BREAD400G,White Bread 400G,Food,482,25,3.57,0.0,LOW,ANOMALY,-0.0761,17.9,1,100,200,640,10,HEALTHY,0,0
2026-08-31,KCH002,BDC,Kuching,Medium,BREAD400G,White Bread 400G,Food,741,22,3.14,0.0,LOW,ANOMALY,-0.0858,31.8,1,100,200,640,10,OVERSTOCK,0,0
2026-08-31,KCH003,4th Mile,Kuching,Medium,BREAD400G,White Bread 400G,Food,396,20,2.86,0.0,LOW,NORMAL,0.0846,18.4,1,100,200,640,10,HEALTHY,0,0
2026-08-31,KCH004,Tabuan Jaya,Kuching,Medium,BREAD400G,White Bread 400G,Food,483,20,2.86,0.0,LOW,ANOMALY,-0.0066,21.4,1,100,200,640,10,HEALTHY,0,0
2026-08-31,KCH005,Satok,Kuching,Medium,BREAD400G,White Bread 400G,Food,376,19,2.71,0.0,LOW,ANOMALY,-0.0214,18.3,1,100,200,640,10,HEALTHY,0,0
2026-08-31,KSM001,Kota Samarahan,Kota Samarahan,Medium,BREAD400G,White Bread 400G,Food,82,16,2.29,0.001,LOW,ANOMALY,-0.005,13.0,1,100,200,640,10,BELOW MINIMUM STOCK,40,4
2026-08-31,MYY001,Miri,Miri,Large,BREAD400G,White Bread 400G,Food,418,24,3.43,0.0,LOW,NORMAL,0.0147,16.3,1,100,200,640,10,HEALTHY,0,0
2026-08-31,SBW001,Sibu,Sibu,Large,BREAD400G,White Bread 400G,Food,462,23,3.29,0.0,LOW,ANOMALY,-0.0499,18.5,1,100,200,640,10,HEALTHY,0,0
2026-08-31,SRN001,Serian,Serian,Small,BREAD400G,White Bread 400G,Food,797,17,2.43,0.0,LOW,ANOMALY,-0.0985,44.3,1,100,200,640,10,OVERSTOCK,0,0
2026-08-31,BTU001,Bintulu,Bintulu,Medium,COKE15L,Coca-Cola 1.5L,Drink,549,23,3.29,0.0,LOW,ANOMALY,-0.0218,22.0,4,120,240,768,12,HEALTHY,0,0
2026-08-31,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,445,29,4.14,0.0,LOW,ANOMALY,-0.0064,14.3,4,120,240,768,12,HEALTHY,0,0
2026-08-31,KCH002,BDC,Kuching,Medium,COKE15L,Coca-Cola 1.5L,Drink,916,24,3.43,0.0,LOW,ANOMALY,-0.0973,35.6,4,120,240,768,12,OVERSTOCK,0,0
2026-08-31,KCH003,4th Mile,Kuching,Medium,COKE15L,Coca-Cola 1.5L,Drink,108,19,2.71,0.1735,LOW,ANOMALY,-0.018,7.7,4,120,240,768,12,BELOW MINIMUM STOCK,36,3
2026-08-31,KCH004,Tabuan Jaya,Kuching,Medium,COKE15L,Coca-Cola 1.5L,Drink,446,23,3.29,0.0,LOW,NORMAL,0.0083,17.7,4,120,240,768,12,HEALTHY,0,0
2026-08-31,KCH005,Satok,Kuching,Medium,COKE15L,Coca-Cola 1.5L,Drink,473,22,3.14,0.0,LOW,ANOMALY,-0.0235,19.8,4,120,240,768,12,HEALTHY,0,0
2026-08-31,KSM001,Kota Samarahan,Kota Samarahan,Medium,COKE15L,Coca-Cola 1.5L,Drink,499,21,3.0,0.0,LOW,NORMAL,0.0617,21.6,4,120,240,768,12,HEALTHY,0,0
2026-08-31,MYY001,Miri,Miri,Large,COKE15L,Coca-Cola 1.5L,Drink,982,27,3.86,0.0,LOW,ANOMALY,-0.1003,33.2,4,120,240,768,12,OVERSTOCK,0,0
2026-08-31,SBW001,Sibu,Sibu,Large,COKE15L,Coca-Cola 1.5L,Drink,145,27,3.86,0.9984,HIGH,NORMAL,0.0091,5.1,4,120,240,768,12,BELOW MINIMUM STOCK,12,1
2026-08-31,SRN001,Serian,Serian,Small,COKE15L,Coca-Cola 1.5L,Drink,984,20,2.86,0.0,LOW,ANOMALY,-0.0959,47.2,4,120,240,768,12,OVERSTOCK,0,0
2026-08-31,BTU001,Bintulu,Bintulu,Medium,DETERGENT2KG,Laundry Detergent 2KG,Daily Use,220,5,0.71,0.0,LOW,NORMAL,0.0178,36.7,10,30,54,162,6,OVERSTOCK,0,0
2026-08-31,KCH001,Vivacity,Kuching,Large,DETERGENT2KG,Laundry Detergent 2KG,Daily Use,98,6,0.86,0.0,LOW,NORMAL,0.2105,13.7,10,30,54,162,6,HEALTHY,0,0
2026-08-31,KCH002,BDC,Kuching,Medium,DETERGENT2KG,Laundry Detergent 2KG,Daily Use,104,6,0.86,0.0,LOW,NORMAL,0.1085,17.8,10,30,54,162,6,HEALTHY,0,0
2026-08-31,KCH003,4th Mile,Kuching,Medium,DETERGENT2KG,Laundry Detergent 2KG,Daily Use,207,6,0.86,0.0,LOW,NORMAL,0.0282,39.2,10,30,54,162,6,OVERSTOCK,0,0
2026-08-31,KCH004,Tabuan Jaya,Kuching,Medium,DETERGENT2KG,Laundry Detergent 2KG,Daily Use,99,6,0.86,0.0,LOW,NORMAL,0.152,17.3,10,30,54,162,6,HEALTHY,0,0
2026-08-31,KCH005,Satok,Kuching,Medium,DETERGENT2KG,Laundry Detergent 2KG,Daily Use,200,5,0.71,0.0,LOW,NORMAL,0.0386,40.0,10,30,54,162,6,OVERSTOCK,0,0
2026-08-31,KSM001,Kota Samarahan,Kota Samarahan,Medium,DETERGENT2KG,Laundry Detergent 2KG,Daily Use,27,5,0.71,0.9108,HIGH,NORMAL,0.0112,5.0,10,30,54,162,6,BELOW MINIMUM STOCK,12,2
2026-08-31,MYY001,Miri,Miri,Large,DETERGENT2KG,Laundry Detergent 2KG,Daily Use,29,6,0.86,0.9213,HIGH,NORMAL,0.0531,4.5,10,30,54,162,6,BELOW MINIMUM STOCK,12,2
2026-08-31,SBW001,Sibu,Sibu,Large,DETERGENT2KG,Laundry Detergent 2KG,Daily Use,126,6,0.86,0.0,LOW,NORMAL,0.1402,19.2,10,30,54,162,6,HEALTHY,0,0
2026-08-31,SRN001,Serian,Serian,Small,DETERGENT2KG,Laundry Detergent 2KG,Daily Use,115,4,0.57,0.0,LOW,NORMAL,0.1099,23.7,10,30,54,162,6,HEALTHY,0,0
2026-08-31,BTU001,Bintulu,Bintulu,Medium,MILO1KG,Milo 1KG,Drink,399,16,2.29,0.0,LOW,ANOMALY,-0.0162,23.7,6,84,168,516,12,HEALTHY,0,0
2026-08-31,KCH001,Vivacity,Kuching,Large,MILO1KG,Milo 1KG,Drink,631,20,2.86,0.0,LOW,ANOMALY,-0.0597,29.3,6,84,168,516,12,OVERSTOCK,0,0
2026-08-31,KCH002,BDC,Kuching,Medium,MILO1KG,Milo 1KG,Drink,653,16,2.29,0.0,LOW,ANOMALY,-0.0729,35.7,6,84,168,516,12,OVERSTOCK,0,0
2026-08-31,KCH003,4th Mile,Kuching,Medium,MILO1KG,Milo 1KG,Drink,675,16,2.29,0.0,LOW,ANOMALY,-0.0839,40.0,6,84,168,516,12,OVERSTOCK,0,0
2026-08-31,KCH004,Tabuan Jaya,Kuching,Medium,MILO1KG,Milo 1KG,Drink,330,16,2.29,0.0,LOW,NORMAL,0.1061,18.5,6,84,168,516,12,HEALTHY,0,0
2026-08-31,KCH005,Satok,Kuching,Medium,MILO1KG,Milo 1KG,Drink,82,15,2.14,0.9861,HIGH,NORMAL,0.0978,5.1,6,84,168,516,12,BELOW MINIMUM STOCK,24,2
2026-08-31,KSM001,Kota Samarahan,Kota Samarahan,Medium,MILO1KG,Milo 1KG,Drink,365,15,2.14,0.0,LOW,ANOMALY,-0.0012,23.4,6,84,168,516,12,HEALTHY,0,0
2026-08-31,MYY001,Miri,Miri,Large,MILO1KG,Milo 1KG,Drink,697,19,2.71,0.0,LOW,ANOMALY,-0.0784,34.6,6,84,168,516,12,OVERSTOCK,0,0
2026-08-31,SBW001,Sibu,Sibu,Large,MILO1KG,Milo 1KG,Drink,312,19,2.71,0.0,LOW,NORMAL,0.0882,15.5,6,84,168,516,12,HEALTHY,0,0
2026-08-31,SRN001,Serian,Serian,Small,MILO1KG,Milo 1KG,Drink,382,13,1.86,0.0,LOW,NORMAL,0.0658,26.5,6,84,168,516,12,HEALTHY,0,0
2026-08-31,BTU001,Bintulu,Bintulu,Medium,RICE5KG,Premium Rice 5KG,Food,42,10,1.43,0.8988,HIGH,NORMAL,0.0646,3.7,8,52,100,320,4,BELOW MINIMUM STOCK,20,5
2026-08-31,KCH001,Vivacity,Kuching,Large,RICE5KG,Premium Rice 5KG,Food,222,13,1.86,0.0,LOW,NORMAL,0.0965,15.7,8,52,100,320,4,HEALTHY,0,0
2026-08-31,KCH002,BDC,Kuching,Medium,RICE5KG,Premium Rice 5KG,Food,233,11,1.57,0.0,LOW,NORMAL,0.1309,20.1,8,52,100,320,4,HEALTHY,0,0
2026-08-31,KCH003,4th Mile,Kuching,Medium,RICE5KG,Premium Rice 5KG,Food,244,10,1.43,0.0,LOW,NORMAL,0.0695,23.1,8,52,100,320,4,HEALTHY,0,0
2026-08-31,KCH004,Tabuan Jaya,Kuching,Medium,RICE5KG,Premium Rice 5KG,Food,223,12,1.71,0.0,LOW,NORMAL,0.0663,19.8,8,52,100,320,4,HEALTHY,0,0
2026-08-31,KCH005,Satok,Kuching,Medium,RICE5KG,Premium Rice 5KG,Food,57,10,1.43,0.82,HIGH,NORMAL,0.0206,5.4,8,52,100,320,4,BELOW MINIMUM STOCK,8,2
2026-08-31,KSM001,Kota Samarahan,Kota Samarahan,Medium,RICE5KG,Premium Rice 5KG,Food,245,9,1.29,0.0,LOW,NORMAL,0.131,23.2,8,52,100,320,4,HEALTHY,0,0
2026-08-31,MYY001,Miri,Miri,Large,RICE5KG,Premium Rice 5KG,Food,190,13,1.86,0.0,LOW,NORMAL,0.1588,13.9,8,52,100,320,4,HEALTHY,0,0
