date,source_layer,store_id,store_name,region,store_type,sku,product_name,category,units_sold,sales_value,opening_stock,received_qty,transfer_in,transfer_out,damaged_qty,expired_qty,adjustment_qty,closing_stock,supplier_lead_time_days,safety_stock,min_stock,max_stock,case_pack,cost_price,selling_price,perishable,shelf_life_days
2025-09-01,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,28,145.60,216,0,0,0,0,0,0,188,2,60,80,300,12,3.80,5.20,0,270
2025-09-02,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,28,145.60,188,0,0,0,0,0,0,160,2,60,80,300,12,3.80,5.20,0,270
2025-09-03,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,21,109.20,160,0,0,0,0,0,0,139,2,60,80,300,12,3.80,5.20,0,270
2025-09-04,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,24,124.80,139,0,0,0,0,0,0,115,2,60,80,300,12,3.80,5.20,0,270
2025-09-05,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,21,109.20,115,192,0,0,0,0,0,286,2,60,80,300,12,3.80,5.20,0,270
2025-09-06,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,34,176.80,286,0,0,0,0,0,0,252,2,60,80,300,12,3.80,5.20,0,270
2025-09-07,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,36,187.20,252,0,0,0,0,0,0,216,2,60,80,300,12,3.80,5.20,0,270
2025-09-08,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,23,119.60,216,0,0,0,0,0,0,193,2,60,80,300,12,3.80,5.20,0,270
2025-09-09,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,26,135.20,193,0,0,0,0,0,0,167,2,60,80,300,12,3.80,5.20,0,270
2025-09-10,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,26,135.20,167,0,0,0,0,0,0,141,2,60,80,300,12,3.80,5.20,0,270
2025-09-11,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,23,119.60,141,0,0,0,0,0,0,118,2,60,80,300,12,3.80,5.20,0,270
2025-09-12,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,25,130.00,118,192,0,0,0,0,0,285,2,60,80,300,12,3.80,5.20,0,270
2025-09-13,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,34,176.80,285,0,0,0,0,0,0,251,2,60,80,300,12,3.80,5.20,0,270
2025-09-14,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,36,187.20,251,0,0,0,0,0,0,215,2,60,80,300,12,3.80,5.20,0,270
2025-09-15,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,27,140.40,215,0,0,0,0,0,0,188,2,60,80,300,12,3.80,5.20,0,270
2025-09-16,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,20,104.00,188,0,0,0,0,0,0,168,2,60,80,300,12,3.80,5.20,0,270
2025-09-17,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,22,114.40,168,0,0,0,0,0,0,146,2,60,80,300,12,3.80,5.20,0,270
2025-09-18,Fabric_Gold_Simulated_Scenario,KCH001,Vivacity,Kuching,Large,COKE15L,Coca-Cola 1.5L,Drink,27,140.40,146,0,0,0,0,0,0,119,2,60,80,300,12,3.80,5.20,0,270
